Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19
9F849F3088D0FC4D9AF51AE3C8AEF019,Elles cafe and kitchen,Elles cafe and kitchen,Hallent93@outlook.com,306 550 6609,,www.ellescafe.ca,Regina,Saskatchewan,2811 13th ave,,s4t 1n6,cafe and kitchen with a seasonal ice cream shop high end coffee and in house baking soft serve ice cream vegan and dairy free options ice cream cakes dole whip soft serve also,Above $25,000 CAD (and over $40,000 for services and construction contracts),http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=9F849F3088D0FC4D9AF51AE3C8AEF019, - ,
97E049E362E25173E0531B96D48E86D3,Elm Printing Inc.,Elm Printing Inc.,mariop@elmprinting.com,,,http://www.elmprinting.com,Ottawa,Ontario,23-2100 Thurston Dr.,,K1G4K8,Design creation hand illustrations proofing logos and documents Offset printing and digital printing Bindery saddle stitch perfect binding cerlox spiral folding numbering drilling die cutting shrink wrapping scoring Promotional material hard ,Interested in contracts of any value,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=97E049E362E25173E0531B96D48E86D3,323119 - Other Printing,323113 - Commercial Screen Printing | 323115 - Digital Printing | 323120 - Support Activities for Printing | 541430 - Graphic Design Services | ,N7530 - Stationery and Record Forms | N3610 - Printing  Duplicating and Bookbinding Equipment | T099A - Publishing  Co-Publishing and Support Services - Paper and Electronic Format | N8135JB - PAPER  KRAFT  ENVELOPE (PACKAGING) | ,
97E049E3620A5173E0531B96D48E86D3,Eltoq Developments Inc,Eltoq Developments Inc,akendall@eltoqdevelopments.ca,,,,Corner Brook,Newfoundland And Labrador,P.O. Box 774,Main Stn,A2H6G7,Eltoq Developments Inc a wholesale distributor serving 3 business sectors with warehouses located in Corner Brook NL and Mount Pearl NLFlooring - Commercial and residential flooring carpets hardwood engineered hardwood laminate LVTLVP ,Interested in contracts of any value,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=97E049E3620A5173E0531B96D48E86D3,418990 - All Other Wholesaler-Distributors,414320 - Floor Covering Wholesaler-Distributors | 414390 - Other Home Furnishings Wholesaler-Distributors | 416110 - Electrical Wiring and Construction Supplies Wholesaler-Distributors | 416120 - Plumbing  Heating and Air-Conditioning Equipment and Supplies Wholesaler-Distributors | 416210 - Metal Service Centres | 416320 - Lumber  Plywood and Millwork Wholesaler-Distributors | ,N7195 - Miscellaneous Furniture and Fixtures | N4520E - Tanks  Hot Water Storage (Domestic) | N4510AE - Plumbing Fixtures  Institutional | N4110 - Refrigeration Equipment | N4510 - Plumbing Fixtures and Accessories | N3750 - Gardening Implements and Tools | N4130A - Air Conditioning and Heating Combination Components (Domestic) | N4130 - Refrigeration and Air Conditioning Components | N5110 - Hand Tools  Edged  Nonpowered | N5120 - Hand Tools  Nonedged  Nonpowered | N4510GA - Plumbing Supplies  Fittings  Faucets  Etc. | N7105 - Household Furniture | N7290 - Household and Commercial Furnishings and Appliances  Miscellaneous | N7110 - Office Furniture | N3510 - Laundry and Dry Cleaning Equipment | N5120N - Tradesman and Special Tasks Tools | N4520A - Furnaces  Warm Air  Oil  Gas or Solid Fuel (Domestic) | ,
97E049E362065173E0531B96D48E86D3,Empire Metals and Recycling,Empire Metals and Recycling,ravenscragg@hotmail.ca,,,http://www.empiremetalsandrecycling.com,Hamilton,Ontario,115 Rosslyn Ave N,,L8L7P3,Free recycling of all scrap metal appliances etc as well as all e-waste material items such as desktop  laptop computers televisions printers scanners etc In Hamilton and surrounding areas FREE SERVICE NO FEE REQUIRED,Interested in contracts of any value,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=97E049E362065173E0531B96D48E86D3,562920 - Material Recovery Facilities,418110 - Recyclable Metal Wholesaler-Distributors | ,E199D - Environmental Services | ,
50AB3847B193F94E806A5EC597D721BD,EMS MPS Limited Partnership,EMS MPS Limited Partnership,,3068394955,,,Cold Lake,Alberta,Box 1230,,T9M 1P3,Limited Partnership majority owned by the Elizabeth Metis Settlement Activities Industrial and commercial construction fabrication and project management services,Interested in contracts of any value,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=50AB3847B193F94E806A5EC597D721BD,236210 - Industrial Building and Structure Construction,238990 - All Other Specialty Trade Contractors | 321215 - Structural Wood Product Manufacturing | 321911 - Wood Window and Door Manufacturing | 321919 - Other Millwork | 236110 - Residential Building Construction | 236220 - Commercial and Institutional Building Construction | 237120 - Oil and Gas Pipeline and Related Structures Construction | ,5139C - General Heavy Construction | K113A - Snow Plowing and Removal | 5153A - Roofing  Siding and Sheet Metal Installation Services | 5162C - Plumbing Contractor Services | 5174A - Floor and Wall Tiling Work | 5153B - Roofing and Waterproofing | 5112B - Demolition Work | 5179F - Building/Installation Special Trade Services  Not Elsewhere Specified | 5176B - Wood and Metal Joinery and Carpentry | K107A - Landscaping and Horticultural Services | 5164A - Electrical Installations and Major Repairs | 5139A - Construction Services  Not Elsewhere Specified | 5129B - Construction of Other Buildings | E108A - Asbestos Removal Services | ,
97E049E361BD5173E0531B96D48E86D3,Endless Haulers Ltd.,Endless Haulers Ltd.,endlesshaulers@gmail.com,,,,Fairview,Alberta,Box 1762,811070 RR34,T0H1L0,Providing Professional Class 1234 and 5 Driver Services within Alberta,Interested in contracts of any value,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=97E049E361BD5173E0531B96D48E86D3,484110 - General Freight Trucking  Local,484121 - General Freight Trucking  Long Distance  Truck-Load | 484229 - Other Specialized Freight (except Used Goods) Trucking  Local | ,V001B - Trucking | V401B - Transportation | ,
97E049E364E05173E0531B96D48E86D3,EnerTech Staffing and Workforce Solutions Inc.,EnerTech Staffing and Workforce Solutions Inc.,calgary@enertechstaff.com,,,http://www.enertechstaff.com,Calgary,Alberta,300  160 Quarry Park Blvd SE,,T2C3G3,EnerTech is a Certified Aboriginal Business CAB that provides staffing and workforce solutions to the Energy Infrastructure Government and Natural Resources industries  We are an equal opportunity employer that encourages and supports equal ,Interested in contracts of any value,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=97E049E364E05173E0531B96D48E86D3,561310 - Employment Placement Agencies and Executive Search Services,541611 - Administrative Management and General Management Consulting Services | 541612 - Human Resources Consulting Services | 541619 - Other Management Consulting Services | 541620 - Environmental Consulting Services | 541690 - Other Scientific and Technical Consulting Services | 561320 - Temporary Help Services | 561330 - Professional Employer Organizations | ,C216C - Marine Architect and Engineering Services | R201A - General Office Help | 5139C - General Heavy Construction | R010A - Internal and External Audits (Supply Arrangement PASS) | B206A - Energy Studies including Federal Buildings Initiative | 5139D - General Marine Construction Work | R019U - Professional Services / Program Research Analysis | R199B - Miscellaneous Business Services | C211D - Architect and Engineering Services - Buildings | B109A - Other Environmental Studies | T000H - Communication Writing and Editing Services | 5139B - Engineering Works  Not Elsewhere Specified | 5139A - Construction Services  Not Elsewhere Specified | B101A - Environmental Impact Studies | 5133C - Waterways  Harbours  Dams and Other Water Works | R199H - Consulting Services  Change Management / Organizational Development (CM/OD) | ,
878525759E74A7479A574F95673FFA7F,Enoch Construction Limited Partnership,Enoch Construction Limited Partnership,ecl@enochnation.ca,7804811418,,https://enochnation.ca/,Enoch,Alberta,Box 800,,t7x3y3,Enoch Construction is Enoch Cree First Nations designated corporate entity implementing commitments outlined in various business relationships pertaining to industry projects and construction services,Interested in contracts of any value,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=878525759E74A7479A574F95673FFA7F,23 - Construction,,WR2320 - TRUCKS AND TRUCK TRACTORS  WHEELED - RENTAL | 5139A - Construction Services  Not Elsewhere Specified | ,
C9A875CFAE63FF4CA7F17CF7D8F9637E,Ensaal Technologies,Ensaal Technologies Corp.,jauvonne@saadene.com,4037104479,,www.ensaal.com,Surrey,British Columbia,19131 - 33 Avenue,V3Z 1A1,V3Z1A1,Ensaal Technologies specializes in building rugged reliable clean power systems that are field proven and purpose-built for the most challenging off-grid industrial locationsWith our vast expertise in fabricating manufacturing and electrical ,Interested in contracts of any value,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=C9A875CFAE63FF4CA7F17CF7D8F9637E, - ,221119 - Other Electric Power Generation | 561210 - Facilities Support Services | 454319 - Other Fuel Dealers | 334110 - Computer and Peripheral Equipment Manufacturing | ,D304A - Data Transmission Service | C211D - Architect and Engineering Services - Buildings | 5179F - Building/Installation Special Trade Services  Not Elsewhere Specified | D316B - Telecommunications Network Services | 5139B - Engineering Works  Not Elsewhere Specified | 5139A - Construction Services  Not Elsewhere Specified | R199H - Consulting Services  Change Management / Organizational Development (CM/OD) | T000G - Communication Support Products | C111A - Architect/Engineer Services - Administration & Service Buildings | ,
97E049E364615173E0531B96D48E86D3,Ensiban Corporation,Ensiban Corporation,ia@agasga.com,,,,Sundridge,Ontario,122-77 Main St,,P0A1Z0,Ensiban Corporation is an aboriginal business specialized in supplying products to Energy and Mining companies,Interested in contracts of any value,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=97E049E364615173E0531B96D48E86D3,417220 - Mining and Oil and Gas Well Machinery  Equipment and Supplies Wholesaler-Distributors,417230 - Industrial Machinery  Equipment and Supplies Wholesaler-Distributors | ,,
97E049E361665173E0531B96D48E86D3,entreprise lareguy inc,entreprise lareguy inc,lareguy@videotron.ca,,,,Mirabel,Quebec,9114  rue Ernest-Bouvrette,,J7N0V7,General contractorrenovation construction division auction buying for wholesales auto division  ,Interested in contracts of any value,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=97E049E361665173E0531B96D48E86D3,236110 - Residential Building Construction,415110 - New and Used Automobile and Light-Duty Truck Wholesaler-Distributors | ,5173B - Painting Work | 5179I - Other Building Completion and Finishing | 5174A - Floor and Wall Tiling Work | 5153B - Roofing and Waterproofing | 5179F - Building/Installation Special Trade Services  Not Elsewhere Specified | 5176B - Wood and Metal Joinery and Carpentry | 5169D - Other Installation Work | 5139A - Construction Services  Not Elsewhere Specified | 5129B - Construction of Other Buildings | 5169E - Doors and Windows Installation and Repair Services | ,
97E049E360E05173E0531B96D48E86D3,Enviro-Target Consulting,Enviro-Target Consulting,rrmiller1969@hotmail.com,,,,Nanaimo,British Columbia,419 Lenhart Ave,,V9S4X4,Environmental Consulting Environmental Studies Assessments Mitigation and Reclamation Waste to Fuel Recycling,Interested in contracts of any value,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=97E049E360E05173E0531B96D48E86D3,541620 - Environmental Consulting Services,541990 - All Other Professional  Scientific and Technical Services | 562210 - Waste Treatment and Disposal | ,R019U - Professional Services / Program Research Analysis | E199D - Environmental Services | B109A - Other Environmental Studies | B103A - Water Quality Studies | B101A - Environmental Impact Studies | B302A - Feasibility Studies/Needs Analysis | ,
97E049E362055173E0531B96D48E86D3,EnviroCree Ltd.,EnviroCree Ltd.,info@envirocree.com,,,http://www.envirocree.com,Rouyn-Noranda,Quebec,200-26 19e Rue,bureau 200,J9X2M3,PRESENTATIONEnviroCree Ltd is the most noteworthy Native firm specialized in environmental services in the Province of Quebec The company has been growing since 2009 Its president and principal owner Mr Jim MacLeod is a member of the Cree ,Interested in contracts of any value,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=97E049E362055173E0531B96D48E86D3,541620 - Environmental Consulting Services,541370 - Surveying and Mapping (except Geophysical) Services | 541930 - Translation and Interpretation Services | ,C216C - Marine Architect and Engineering Services | U006C - Technical / Vocational Training | R109D - Translation Services | E199D - Environmental Services | B109A - Other Environmental Studies | 5139B - Engineering Works  Not Elsewhere Specified | B103A - Water Quality Studies | B101A - Environmental Impact Studies | E108F - Northern Contaminated Site Environmental Clean-up Work/Services | T019D - Survey Services  Interior and Exterior | AH215000 - Environmental Sciences: Air  Water Pollution and other (R&D) | T005A - Graphic Design Services - including website | ,
97E049E35F715173E0531B96D48E86D3,Er Small Business Solutions,Er Small Business Solutions,eugene@desjarlaisfinancial.com,204-479-6839,,,Winnipeg,Manitoba,40 Foxwarren Dr.,,R2P2X3,Certified QuickBooks ProAdvisor QuickBooks Training Consulting bookkeeping and accounting services,Interested in contracts of any value,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=97E049E35F715173E0531B96D48E86D3,541215 - Bookkeeping  Payroll and Related Services,541212 - Offices of Accountants | 541619 - Other Management Consulting Services | ,,
7A35FD518ACB5E409FD9DDD46CD554FD,Eric Burkart Oilfield Consulting Ltd.,Eric Burkart Oilfield Consulting Ltd.,eburkart@outlook.com,780-808-1277,,,Lloydminster,Alberta,3409 58 Ave,3409 58 Ave,T9V1X3,Provide Consulting and Field Supervision for a variety of Oilfield projects Abandonments and Completions of Oil and Gas wells,Interested in contracts of any value,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=7A35FD518ACB5E409FD9DDD46CD554FD, - ,,,
3F89F726872D6C47A6277D1ED550DFB1,Erin Laye Photography,EL Photography,erinlayephotography@gmail.com,2048905209,,www.erinlaye.com,Selkirk,Manitoba,Box 159 GRP 327 RR3,,r1a2a8,Erin Laye Photography is a 100 owned indigenous business We provide commercial and personal photographic services This includes professional portraits product photos and real estate photography,Interested in contracts of any value,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=3F89F726872D6C47A6277D1ED550DFB1,541920 - Photographic Services,,R019E - Business Services | D399A - Miscellaneous Communications Services | R199B - Miscellaneous Business Services | 5179I - Other Building Completion and Finishing | C219D - Other Architectural and Engineering Services - Real Property | T003A - Advertising | T000G - Communication Support Products | ,
29F308C0BB11D049B3B09530834C102D,Ernco Sage Environmental Inc,Ernco Sage Environmental Inc,josh.e@erncodrill.com,4033912159,4038871480,,Red Deer,Alberta,8027 Edgar Industrial Drive,,T4P 3R2,Environmental Contracting,Interested in contracts of any value,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=29F308C0BB11D049B3B09530834C102D,541620 - Environmental Consulting Services,,E199D - Environmental Services | ,
97E049E360F65173E0531B96D48E86D3,Erwood Air Inc.,Erwood Air Inc.,erwoodair@rogers.com,,,http://www.erwoodair.com,Sutton West,Ontario,PO Box N43  RR2,,L0E1R0,Supply Install and service HVAC equipment Radiant floor heating Geothermal Installations and service Duct Cleaning Fireplace installation and repairs Boiler installation and repairs,Interested in contracts of any value,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=97E049E360F65173E0531B96D48E86D3,238220 - Plumbing  Heating and Air-Conditioning Contractors,,5161B - Heating  Ventilation and Air Conditioning Maintenance & Inspection Services | N4130A - Air Conditioning and Heating Combination Components (Domestic) | ,
97E049E364775173E0531B96D48E86D3,ESGS  Inc,ESGS  Inc,orders@esgs.ca,,,http://www.esgs.ca,Winnipeg,Manitoba,150 Henry Ave,,R3B0J7,Creative ServicesConcept development layout and graphic designGoods and service procurement office supplies travel and accommodations consultant contracting etcPrint ProductionBusiness Cards Letterhead Envelopes Brochures Posters ,Interested in contracts of any value,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=97E049E364775173E0531B96D48E86D3,541430 - Graphic Design Services,541870 - Advertising Material Distribution Services | 541891 - Specialty Advertising Distributors | 541899 - All Other Services Related to Advertising | 314990 - All Other Textile Product Mills | 419110 - Business-to-Business Electronic Markets | 541810 - Advertising Agencies | 541850 - Display Advertising | ,N7530 - Stationery and Record Forms | N7125 - Cabinets  Lockers  Bins and Shelving | N5130 - Hand Tools  Power-Driven | N8305 - Textile Fabrics | R019U - Professional Services / Program Research Analysis | E199D - Environmental Services | N6505 - Drugs and Biologicals | D302A - Informatics Professional Services | G009D - Health and Allied Services  Not Elsewhere Specified | N8405L - Jackets/Trousers/Coveralls/Slacks/Shorts | N7520 - Office Devices and Accessories | T000H - Communication Writing and Editing Services | N3805 - Earthmoving and Excavating Equipment | T003A - Advertising | N5110 - Hand Tools  Edged  Nonpowered | T004B - Events Planning and Management | N5120 - Hand Tools  Nonedged  Nonpowered | M110A - Property Management - Office Space/Administrative Buildings | N7810 - Athletic and Sporting Equipment | R199H - Consulting Services  Change Management / Organizational Development (CM/OD) | T000G - Communication Support Products | N7510 - Office Supplies | N3610BE - Photocopying Machines and Accessories | N6675 - Drafting  Surveying and Mapping Instruments | N9999 - Miscellaneous Items | N7290 - Household and Commercial Furnishings and Appliances  Miscellaneous | N5510 - Lumber and Related Basic Wood Material | N7110 - Office Furniture | N4010 - Chain and Wire Rope | T005A - Graphic Design Services - including website | N5133 - Drill Bits  Counterbores and Countersinks  Hand and Machine | B302A - Feasibility Studies/Needs Analysis | N6840ABA - Deodorant  Air  Sanitizer  Aerosol | N6840B - DISINFECTANT | N8405CL - CAP  KNIT  MENS  TOQUE (INCLUDES BALACLAVA) | N8415Q - JACKETS (CLOTHING  SPECIAL PURPOSE) | N8415XE - CLOTHING  SAFETY  FORESTRY | T018C - Audio and Video | ,
9DA5E78AFD6B16449400FC62D53388EB,eSupply Canada Ltd.,eSupply Canada Ltd.,svanloffeld@gmail.com,2267218378,,www.esupplycanada.ca,Saugeen First Nation,Ontario,985 French Bay Road,,N0H2L0,eSupply Canada Ltd is a leading national retailer and distributor of office janitorial and industrial supplies that services Indigenous communities and businesses businesses operating in Indigenous territories and governments With access ,Interested in contracts of any value,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=9DA5E78AFD6B16449400FC62D53388EB,418210 - Stationery and Office Supplies Wholesaler-Distributors,417210 - Construction and Forestry Machinery  Equipment and Supplies Wholesaler-Distributors | 415290 - Other New Motor Vehicle Parts and Accessories Wholesaler-Distributors | 418990 - All Other Wholesaler-Distributors | 416110 - Electrical Wiring and Construction Supplies Wholesaler-Distributors | 416120 - Plumbing  Heating and Air-Conditioning Equipment and Supplies Wholesaler-Distributors | 417910 - Office and Store Machinery and Equipment Wholesaler-Distributors | ,R201A - General Office Help | N5995 - Cable  Cord  and Wire Assemblies  Communication Equipment | N7530 - Stationery and Record Forms | N7195 - Miscellaneous Furniture and Fixtures | N7125 - Cabinets  Lockers  Bins and Shelving | WR1990 - Ships  Small Craft  Pontoons  and Floating Docks - Rental | N4520E - Tanks  Hot Water Storage (Domestic) | N6810 - Chemicals | N4510AE - Plumbing Fixtures  Institutional | R019E - Business Services | N4510 - Plumbing Fixtures and Accessories | N2050 - Buoys | N5130 - Hand Tools  Power-Driven | N5650 - Roofing and Siding Materials | N4940L - Degreasers | N5340 - Hardware  Commercial | N4910E - Brake Service Equipment | D399A - Miscellaneous Communications Services | N4940 - Maintenance and Repair Shop Specialized Equipment  Miscellaneous | R199B - Miscellaneous Business Services | N2090 - Ship and Marine Miscellaneous Equipment | N4910 - Motor Vehicle Maintenance and Repair Shop Specialized Equipment | N9440 - Miscellaneous Crude Agricultural and Forestry Products | N8105 - Bags and Sacks | N9150 - Oils and Greases  Cutting  Lubricating  and Hydraulic | N7910 - Floor Polishers and Vacuum Cleaning Equipment | N3540 - Wrapping and Packaging Machinery | N4130A - Air Conditioning and Heating Combination Components (Domestic) | N4130 - Refrigeration and Air Conditioning Components | N7520 - Office Devices and Accessories | N5110 - Hand Tools  Edged  Nonpowered | N8115 - Boxes  Cartons and Crates | N5120 - Hand Tools  Nonedged  Nonpowered | K100A - Cleaning and Maintenance  Janitorial | N5805 - Telephone and Telegraph Equipment | N4940R - Cleaner  Pressure  Solvent-Water | N4920 - Aircraft Maintenance and Repair Shop Specialized Equipment | N7105 - Household Furniture | N3930 - Warehouse Trucks and Tractors  Self-Propelled | N8135K - PLASTIC SHEET/TUBING  PLASTIC (PACKAGING) | T000G - Communication Support Products | N5999 - Miscellaneous Electrical and Electronic Components | N7510 - Office Supplies | N3610BE - Photocopying Machines and Accessories | N9999 - Miscellaneous Items | N7290 - Household and Commercial Furnishings and Appliances  Miscellaneous | N6910 - Training Aids | N7110 - Office Furniture | N4940T - Cleaner  Steam  Trailer Mounted | N6625 - Electrical and Electronic Properties Measuring and Testing Instruments | N4010 - Chain and Wire Rope | N5610 - Mineral Construction Materials  Bulk | N5133 - Drill Bits  Counterbores and Countersinks  Hand and Machine | N6840ABA - Deodorant  Air  Sanitizer  Aerosol | N6840B - DISINFECTANT | N6910100 - Training Aids  Electronic Navigational | N6910300 - TRAINING AIDS  ELECTRONIC  VEHICLE | N7910B - CLEANER  VACUUM  ELECTRIC/PNEUMATIC/MANUAL | N8105CA - BAG  TEXTILE  WOVEN PLASTIC | N8115AB - BOX  SHIPPING  FIBERBOARD  DOUBLE WALL (DEPENDENTS BOX) | N8135JB - PAPER  KRAFT  ENVELOPE (PACKAGING) | N8305BJ - CLOTH  BURLAP (JUTE FIBER) | N8305BS - CLOTH  FIBERGLASS | N8405CL - CAP  KNIT  MENS  TOQUE (INCLUDES BALACLAVA) | N8410B - COAT/SKIRT  WOMEN'S (EXCEPT CLOTHING  SPECIAL PURPOSE) | N8415XE - CLOTHING  SAFETY  FORESTRY | ,
97E049E3626C5173E0531B96D48E86D3,Ethical Electrical,Ethical Electrical,ethical.electrical.sk@gmail.com,,,,Saskatoon,Saskatchewan,2106 St. Andrews Ave,,S7M0M1,Electrical installation and repair services Supplier of electrical goods,Interested in contracts of any value,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=97E049E3626C5173E0531B96D48E86D3,238210 - Electrical Contractors and Other Wiring Installation Contractors,,N5995 - Cable  Cord  and Wire Assemblies  Communication Equipment | N5930 - Switches | 5164A - Electrical Installations and Major Repairs | N5999 - Miscellaneous Electrical and Electronic Components | ,
0E4B23917D717148BB2C694EA6C9FBE9,Eureka Experience,Eureka Experience,rachelle@eurekaexperience.ca,3063718348,,https://www.eurekaexperience.ca/,Grasswood,Saskatchewan,610 Gabriel Road,,S7T 1A8,Providing Eureka Experiences - Customized Professional Training  Development in the essential skills of Strategic Leadership  Communication - directly affecting the total Customer  Employee Experience and delivered directly to you  your ,Below $25,000 CAD (and below $40,000 for services and construction contracts),http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=0E4B23917D717148BB2C694EA6C9FBE9,611430 - Professional and Management Development Training,
7F7EC95F16193940AEF65AF422EA1E8D,Evan Vandermeer,Evan Vandermeer,ontariosporecompany@gmail.com,5196702534,,www.ontariosporecompany.ca,Waterloo,Ontario,1-12 king Street South,1,N2J 1N8,Ontario Spore Company is a new business providing full service distribution of Canadian madeMushroom supplementsReady to eat mushroom based meals Grow your own mushroom kits to retailers professionals and community members throughout the ,Interested in contracts of any value,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=7F7EC95F16193940AEF65AF422EA1E8D, - ,413190 - Other Specialty-Line Food Wholesaler-Distributors | 417990 - All Other Machinery  Equipment and Supplies Wholesaler-Distributors | 411190 - Other Farm Product Wholesaler-Distributors | 418190 - Other Recyclable Material Wholesaler-Distributors | 418390 - Agricultural Chemical and Other Farm Supplies Wholesaler-Distributors | 416390 - Other Specialty-Line Building Supplies Wholesaler-Distributors | ,WR8135 - PACKAGING AND PACKING BULK MATERIALS - RENTAL | N3694 - Clean Work Stations  Controlled Environment and Related Equipment | N5675 - Nonwood Construction Lumber and Related Materials | N5680 - Construction Material  Miscellaneous | N8720 - Fertilizers | WR3625 - TEXTILE INDUSTRIES MACHINERY - RENTAL | E103A - Water Quality Support Services | E111B - Oil Spill Response | AA910300 - Agriculture (R&D) | AH910222 - Environmental Impact Study (R&D) | AK117000 - Materials/Products (R&D) | G102A - Recreational Services | E199D - Environmental Services | ,
78578A9EED3CE74ABECAF0A9E9B486FD,EVE Pay+,EVE Pay+,evepayplus@shaw.ca,7809023279,,,Edmonton,Alberta,7721 - 37 Avenue NW,,T6K 1T9,Providing payroll services for small to medium businesses as well as information sessions for employees to show them how to prepare themselves for tax time by filling out their forms properlyBookkeeping services are also availableI will be ,Interested in contracts of any value,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=78578A9EED3CE74ABECAF0A9E9B486FD, - ,541215 - Bookkeeping  Payroll and Related Services | ,R201A - General Office Help | L099A - Financial and Related Services  N.E.S. | R019E - Business Services | R019U - Professional Services / Program Research Analysis | D399A - Miscellaneous Communications Services | R199B - Miscellaneous Business Services | U099C - Educational Services  N.E.S. | D302A - Informatics Professional Services | T000H - Communication Writing and Editing Services | L099B - Financial Management | B308A - Accounting and Financial Management Studies | ,
19750E38C1E21D4F86556BA301BDC880,Evenements Outaouais Luce Belanger,Evenements Outaouais Luce Belanger,destinee1@sympatico.ca,819 208-4062,,,Val Des Monts,Quebec,90 chemin du Lac Huot,,J8N1E4,ConsultingTraining on aboriginal awareness bilingual,Interested in contracts of any value,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=19750E38C1E21D4F86556BA301BDC880, - ,711513 - Independent Writers and Authors | ,N7020 - ADP Central Processing Unit (CPU  Computer) Analog | R199H - Consulting Services  Change Management / Organizational Development (CM/OD) | ,
97E049E361005173E0531B96D48E86D3,Evitan Consulting Inc.,Evitan Consulting Inc.,dggmcculloch@gmail.com,,,,Upper Sackville,Nova Scotia,118 Patton Rd,,B4E3B9,Consulting Services specializing in implementation of all facets of quality management systems preparation for ISO 9001 certification process policy and procedure research and development project management program evaluations organizational ,Interested in contracts of any value,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=97E049E361005173E0531B96D48E86D3,541611 - Administrative Management and General Management Consulting Services,541720 - Research and Development in the Social Sciences and Humanities | ,R199H - Consulting Services  Change Management / Organizational Development (CM/OD) | ,
3607644EB5A33B44B975A453B763A1E1,Evolution Business Marketing & Communications,Cathers Enterprises,info@evolutionbusiness.ca,(250) 740-1844,,https://evolutionbusiness.ca/,Nanaimo,British Columbia,554 Albert Street,,V9R2W2,Our team of marketing specialists work hard to deliver outstanding results for all of our clients As a full-service marketing agency in Nanaimo we combine creative ideas with vast experience in marketing technologies to deliver measurable ,Interested in contracts of any value,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=3607644EB5A33B44B975A453B763A1E1, - ,541611 - Administrative Management and General Management Consulting Services | 541899 - All Other Services Related to Advertising | 541430 - Graphic Design Services | 541810 - Advertising Agencies | ,D399A - Miscellaneous Communications Services | T003A - Advertising | R019E - Business Services | T004A - Public Relations Services Non-Related to Advertising | T004AB - Public Relations Planning and Development | T004H - Writing Services (including  editing  adaptation  etc.) | T004KA - Social Media Monitoring | ,
0697290D5A1B9A42AB50D67496430C6C,Evolve Survey Group inc,Evolve Survey Group inc,Jordyn.fancy@evolvesurveygroup.com,4034718157,,,Airdrie,Alberta,90 Hillcrest Heights S.W,,T4b4c2,Land Surveying company providing services in the energy sector Areas of expertise include mining civil engineering earthworks heavy industrial surveying and more,Interested in contracts of any value,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=0697290D5A1B9A42AB50D67496430C6C, - ,541330 - Engineering Services | 541360 - Geophysical Surveying and Mapping Services | 541340 - Drafting Services | ,5139B - Engineering Works  Not Elsewhere Specified | R199H - Consulting Services  Change Management / Organizational Development (CM/OD) | T019D - Survey Services  Interior and Exterior | ,
171CB9472E084043ADE2C8641F64EC6C,EWF Electrical,Edward Forbister,edward@ewfelectrical.com,2049799114,,www.ewfelectrical.com,Winnipeg,Manitoba,57 Chisholm Drive,,R2R2T7,Residential and Commercial Electrical,Interested in contracts of any value,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=171CB9472E084043ADE2C8641F64EC6C, - ,238210 - Electrical Contractors and Other Wiring Installation Contractors | ,5164A - Electrical Installations and Major Repairs | ,
